CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Малая техника,238885,теплэко,185,9,3500.036,1615.163,45704.408,26.130100800971793
Женская гигиена,199865,bella,135,9,3251.414,1706.6070000000002,55699.236,30.73222013035221
Обувь,219749,timejump,157,9,3343.515,1479.5729999999999,90162.016,58.678078742988696
Обувь,218803,strobbs,166,9,4554.154500000001,1807.7089999999998,53011.532,26.805961302399893
Малая техника,216575,roborock,185,9,4799.552,3192.3109999999997,133040.257,40.17174548469746
Обувь,213872,oshade,183,9,3734.255,1614.0460000000003,42319.392,23.905847169163703
Детские одежда и обувь,206252,gloria jeans,200,9,3777.018,1316.6924999999997,55274.555,39.11128604438775
Детские одежда и обувь,205729,futurino,112,9,3856.4525,1284.3849999999998,121040.08499999999,91.23715435792228
Одежда,219921,tommy hilfiger,142,9,3601.137,1529.3090000000002,43297.768,25.95723362642866
Товары для стирки,433688,abc (одежда),160,9,3871.0675,1727.6760000000002,42604.936,22.419636841630027
Крупная техника,220328,tuvio,155,9,3758.217,1848.0679999999998,71488.848,36.649425778705115
Одежда,212095,milavitsa,146,9,3327.436,1326.7454999999998,36262.722,24.82411736086537
Крупная техника,236987,сбер,185,9,3418.125,1664.645,165767.532,97.52794559801039
Одежда,201165,calvin klein,188,9,4021.8225,1984.0605,126789.88,61.877174360358474
Одежда,221032,victorias secret,102,9,4815.2955,2217.0535,55103.268000000004,22.68234505843003
Одежда,213937,off white,64,9,2425.757,479.54700000000014,22145.623,41.12186292480193
Дезодоранты,213565,nivea,133,9,3510.554,1872.6180000000002,74814.08200000001,38.07692118734307
Дезодоранты,213997,old spice,223,9,3828.687,2212.304,67068.066,28.585302471993003
Универсальные чистящие средства,200770,brandfree,297,8,3848.508,1882.6349999999998,55058.484,27.20122381661873
Товары для стирки,219103,synergetic,220,8,3565.627,1602.5819999999999,28177.75,15.35779323616514
Малая техника,208338,janome,110,8,3400.527,1669.638,37706.295000000006,20.546829911633544
Малая техника,212017,midea,123,8,3907.983,2302.052,82065.099,33.9510645285163
Краски для волос,239170,тоника,275,8,3939.274,1835.0859999999998,51874.208,26.121355620390545
Смарт-часы и браслеты,205867,garmin,166,8,3912.313,1431.3715,40502.844,25.563266419654155
Средства для умывания и ухода за лицом,209721,la roche posay,196,8,4256.739,2236.6915,61689.545,25.67757153814015
Одежда,209759,lacoste,133,8,3800.228,2022.4170000000001,39807.588,17.804122493036797
Одежда,210037,lc waikiki,155,8,3752.15,1592.531,27339.904,14.8114881280176
Смартфоны,213768,nubia,142,8,3525.6279999999997,1954.1279999999997,75752.09700000001,36.96097133862266
Аудиотехника,210322,lg,99,8,3176.096,1847.116,42206.276,21.13033507370409
Детские одежда и обувь,197557,acoola,204,8,4178.308,1439.5645000000002,55804.095,35.86208676304535
Смартфоны,339936,cmf,110,8,4040.6485,2301.491,49109.914000000004,19.58263816803976
Крупная техника,214973,philips,184,8,4171.359,2315.3334999999997,58757.661,23.57599974258568
Одежда,214101,omsa,231,8,3843.362,1600.158,35231.43,19.61560545896093
