SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,median_ots,mad_ots,reason
1954572816503618427,2025-07-22,207447,honor,Аудиотехника,21804.024,8.645535974759863,8.0,3400.505,2128.673,"Robust Z-score = 8.65 > 8.0 (median=3401, MAD=2129)"
1956151497532999744,2025-08-10,207447,honor,Аудиотехника,24574.42,9.947002193385268,8.0,3400.505,2128.673,"Robust Z-score = 9.95 > 8.0 (median=3401, MAD=2129)"
2522022433100765069,2025-07-07,207447,honor,Аудиотехника,26702.745,10.946838711253443,8.0,3400.505,2128.673,"Robust Z-score = 10.95 > 8.0 (median=3401, MAD=2129)"
4188358933945245444,2025-08-24,207447,honor,Аудиотехника,21740.484,8.61568639241443,8.0,3400.505,2128.673,"Robust Z-score = 8.62 > 8.0 (median=3401, MAD=2129)"
5332267584642577280,2025-07-15,207447,honor,Аудиотехника,28147.651,11.625621220356534,8.0,3400.505,2128.673,"Robust Z-score = 11.63 > 8.0 (median=3401, MAD=2129)"
8872100102946455617,2025-10-14,207447,honor,Аудиотехника,25295.457,10.28572824477973,8.0,3400.505,2128.673,"Robust Z-score = 10.29 > 8.0 (median=3401, MAD=2129)"
144121238185984103,2025-09-11,207459,hopestar,Аудиотехника,20705.455,8.211152727749615,8.0,4050.7575,2028.3020000000004,"Robust Z-score = 8.21 > 8.0 (median=4051, MAD=2028)"
2531033574337168760,2025-09-27,207459,hopestar,Аудиотехника,26396.754,11.01709533392956,8.0,4050.7575,2028.3020000000004,"Robust Z-score = 11.02 > 8.0 (median=4051, MAD=2028)"
4179348047056553453,2025-10-20,207459,hopestar,Аудиотехника,25348.595,10.500328599981659,8.0,4050.7575,2028.3020000000004,"Robust Z-score = 10.50 > 8.0 (median=4051, MAD=2028)"
441365747090418625,2025-07-09,207543,huawei,Аудиотехника,28266.948000000004,9.310769413933905,8.0,4492.848,2553.398,"Robust Z-score = 9.31 > 8.0 (median=4493, MAD=2553)"
1585271561336668320,2025-08-07,207543,huawei,Аудиотехника,27073.168,8.843243395663347,8.0,4492.848,2553.398,"Robust Z-score = 8.84 > 8.0 (median=4493, MAD=2553)"
2242804895778101824,2025-10-17,207543,huawei,Аудиотехника,44042.202,15.488910855260322,8.0,4492.848,2553.398,"Robust Z-score = 15.49 > 8.0 (median=4493, MAD=2553)"
3747000630363940378,2025-09-06,207543,huawei,Аудиотехника,37453.006,12.908351146198125,8.0,4492.848,2553.398,"Robust Z-score = 12.91 > 8.0 (median=4493, MAD=2553)"
5116096277414531212,2025-09-20,207543,huawei,Аудиотехника,26181.583,8.494067513172643,8.0,4492.848,2553.398,"Robust Z-score = 8.49 > 8.0 (median=4493, MAD=2553)"
5116096277414531212,2025-10-03,207543,huawei,Аудиотехника,26057.262,8.445379059590396,8.0,4492.848,2553.398,"Robust Z-score = 8.45 > 8.0 (median=4493, MAD=2553)"
5332267584642577280,2025-07-15,207543,huawei,Аудиотехника,28147.651,9.26404853454103,8.0,4492.848,2553.398,"Robust Z-score = 9.26 > 8.0 (median=4493, MAD=2553)"
6052843423965704501,2025-10-13,207543,huawei,Аудиотехника,36523.7,12.544402400252524,8.0,4492.848,2553.398,"Robust Z-score = 12.54 > 8.0 (median=4493, MAD=2553)"
6629304165209876323,2025-10-06,207543,huawei,Аудиотехника,25418.543,8.19523435046162,8.0,4492.848,2553.398,"Robust Z-score = 8.20 > 8.0 (median=4493, MAD=2553)"
7215590911962668352,2025-08-26,207543,huawei,Аудиотехника,93517.668,34.86523448361752,8.0,4492.848,2553.398,"Robust Z-score = 34.87 > 8.0 (median=4493, MAD=2553)"
8295642745197945921,2025-06-13,207543,huawei,Аудиотехника,104221.792,39.057343978494536,8.0,4492.848,2553.398,"Robust Z-score = 39.06 > 8.0 (median=4493, MAD=2553)"
8296463933773074945,2025-09-21,207543,huawei,Аудиотехника,27634.47,9.063068898777239,8.0,4492.848,2553.398,"Robust Z-score = 9.06 > 8.0 (median=4493, MAD=2553)"
8368987599089875904,2025-08-24,207543,huawei,Аудиотехника,36772.518,12.641848235175244,8.0,4492.848,2553.398,"Robust Z-score = 12.64 > 8.0 (median=4493, MAD=2553)"
8944160953299386496,2025-10-08,207543,huawei,Аудиотехника,67713.228,24.75931288424288,8.0,4492.848,2553.398,"Robust Z-score = 24.76 > 8.0 (median=4493, MAD=2553)"
8944160953299386496,2025-10-14,207543,huawei,Аудиотехника,87011.688,32.31726507187677,8.0,4492.848,2553.398,"Robust Z-score = 32.32 > 8.0 (median=4493, MAD=2553)"
8944160953299386496,2025-10-20,207543,huawei,Аудиотехника,42360.268,14.83020665011878,8.0,4492.848,2553.398,"Robust Z-score = 14.83 > 8.0 (median=4493, MAD=2553)"
2738194092690289773,2025-07-28,207645,hyperx,Аудиотехника,28204.352999999996,8.926265951227505,8.0,4232.598,2685.5299999999997,"Robust Z-score = 8.93 > 8.0 (median=4233, MAD=2686)"
1585271561337016384,2025-07-05,207655,hyundai,Аудиотехника,29802.83,12.930191399301423,8.0,3958.2285,1998.7795,"Robust Z-score = 12.93 > 8.0 (median=3958, MAD=1999)"
5034735007859,2025-06-06,208097,apple ipod,Аудиотехника,25351.028,10.506057780070147,8.0,4177.2925,2015.3834999999997,"Robust Z-score = 10.51 > 8.0 (median=4177, MAD=2015)"
1585271561337009291,2025-10-07,208097,apple ipod,Аудиотехника,25498.054,10.579009652505343,8.0,4177.2925,2015.3834999999997,"Robust Z-score = 10.58 > 8.0 (median=4177, MAD=2015)"
7638112022221130081,2025-08-26,208097,apple ipod,Аудиотехника,20907.375,8.301190567452796,8.0,4177.2925,2015.3834999999997,"Robust Z-score = 8.30 > 8.0 (median=4177, MAD=2015)"
7782225973962771492,2025-07-29,208097,apple ipod,Аудиотехника,34536.136,15.063556638227912,8.0,4177.2925,2015.3834999999997,"Robust Z-score = 15.06 > 8.0 (median=4177, MAD=2015)"
1585271561336654772,2025-09-21,208269,jabra,Аудиотехника,18147.264,15.500102830826458,8.0,3186.9134999999997,965.1774999999998,"Robust Z-score = 15.50 > 8.0 (median=3187, MAD=965)"
1585271561336929916,2025-10-21,208269,jabra,Аудиотехника,11294.32,8.399912451336673,8.0,3186.9134999999997,965.1774999999998,"Robust Z-score = 8.40 > 8.0 (median=3187, MAD=965)"
7864636896608235520,2025-07-08,208269,jabra,Аудиотехника,19895.976,17.311906359193003,8.0,3186.9134999999997,965.1774999999998,"Robust Z-score = 17.31 > 8.0 (median=3187, MAD=965)"
5034735007919,2025-07-06,208375,jbl (аудиотехника),Аудиотехника,31523.936,11.937696995029818,8.0,4106.687,2296.6949999999997,"Robust Z-score = 11.94 > 8.0 (median=4107, MAD=2297)"
